iter	Passed	Remaining
0	63	63290
1	102	51091
2	127	42536
3	153	38313
4	177	35273
5	202	33606
6	230	32712
7	256	31790
8	280	30909
9	304	30147
10	330	29758
11	357	29402
12	381	28944
13	406	28637
14	431	28348
15	458	28169
16	482	27888
17	508	27717
18	516	26649
19	540	26476
20	568	26515
21	594	26441
22	619	26332
23	647	26336
24	673	26275
25	700	26257
26	727	26220
27	752	26135
28	777	26042
29	803	25968
30	829	25938
31	857	25931
32	881	25833
33	906	25747
34	930	25662
35	957	25635
36	983	25605
37	1010	25579
38	1032	25441
39	1068	25643
40	1165	27271
41	1192	27201
42	1229	27367
43	1334	28992
44	1382	29337
45	1431	29691
46	1473	29874
47	1508	29921
48	1540	29891
49	1570	29838
50	1598	29746
51	1626	29658
52	1654	29568
53	1681	29451
54	1708	29360
55	1735	29247
56	1761	29148
57	1788	29053
58	1817	28982
59	1846	28935
60	1875	28873
61	1902	28789
62	1934	28768
63	1961	28680
64	1988	28599
65	1993	28213
66	1998	27829
67	2025	27761
68	2046	27619
69	2071	27525
70	2097	27441
71	2122	27350
72	2146	27258
73	2170	27166
74	2196	27084
75	2224	27046
76	2246	26929
77	2272	26857
78	2300	26818
79	2327	26763
80	2355	26729
81	2382	26673
82	2409	26621
83	2438	26588
84	2464	26528
85	2468	26239
86	2493	26170
87	2519	26112
88	2547	26072
89	2558	25868
90	2581	25785
91	2604	25704
92	2629	25640
93	2655	25593
94	2680	25536
95	2705	25478
96	2731	25428
97	2758	25388
98	2782	25325
99	2808	25274
100	2833	25217
101	2859	25172
102	2894	25209
103	2926	25214
104	2957	25206
105	2986	25186
106	3014	25159
107	3041	25123
108	3069	25090
109	3095	25045
110	3121	25002
111	3146	24943
112	3170	24888
113	3195	24835
114	3221	24794
115	3243	24720
116	3268	24665
117	3289	24590
118	3317	24560
119	3342	24513
120	3369	24476
121	3395	24435
122	3421	24393
123	3447	24353
124	3473	24313
125	3499	24275
126	3527	24246
127	3553	24205
128	3580	24175
129	3608	24149
130	3640	24149
131	3669	24132
132	3697	24103
133	3728	24093
134	3758	24079
135	3787	24064
136	3818	24053
137	3847	24035
138	3880	24039
139	3911	24030
140	3942	24017
141	3970	23990
142	3997	23956
143	4024	23921
144	4056	23916
145	4085	23898
146	4113	23868
147	4139	23829
148	4166	23794
149	4190	23748
150	4216	23705
151	4243	23674
152	4269	23636
153	4298	23616
154	4324	23574
155	4349	23530
156	4377	23506
157	4403	23465
158	4429	23426
159	4455	23391
160	4480	23346
161	4505	23304
162	4530	23261
163	4556	23226
164	4578	23168
165	4603	23129
166	4630	23097
167	4663	23093
